id,order_id,payment_method,amount
1,1,credit_card,700
2,2,credit_card,2800
3,3,coupon,2400
4,4,credit_card,800
5,5,credit_card,800
6,6,bank_transfer,1400
7,6,credit_card,2400
8,7,credit_card,1300
9,8,bank_transfer,300
10,9,credit_card,300
11,10,bank_transfer,300
12,11,credit_card,700
13,12,credit_card,2800
14,12,gift_card,1200
15,13,credit_card,2200
16,14,bank_transfer,2700
17,15,credit_card,1800
18,16,bank_transfer,2400
19,16,bank_transfer,2800
20,17,credit_card,1400
21,18,bank_transfer,100
22,19,credit_card,1700
23,20,bank_transfer,1600
24,21,bank_transfer,2300
25,21,gift_card,1200
26,21,credit_card,2600
27,21,credit_card,1000
28,22,gift_card,2100
29,22,bank_transfer,3000
30,23,credit_card,2700
31,23,credit_card,1000
32,24,credit_card,200
33,25,coupon,1000
34,26,credit_card,500
35,26,credit_card,300
36,27,bank_transfer,900
37,28,coupon,1200
38,29,credit_card,800
39,29,credit_card,500
40,29,credit_card,300
41,30,credit_card,600
42,31,credit_card,3000
43,32,coupon,1400
44,33,bank_transfer,1800
45,34,gift_card,2700
46,35,credit_card,500
47,36,coupon,800
48,37,coupon,2900
49,38,credit_card,900
50,39,credit_card,2700
51,40,credit_card,800
52,41,gift_card,300
53,42,credit_card,1900
54,43,credit_card,2900
55,44,bank_transfer,2900
56,45,coupon,1600
57,46,coupon,2800
58,47,bank_transfer,2100
59,48,credit_card,200
60,49,credit_card,1700
61,50,credit_card,1200
62,51,coupon,1600
63,52,credit_card,2300
64,52,credit_card,2100
65,53,gift_card,1500
66,53,bank_transfer,2800
67,54,coupon,2900
68,55,bank_transfer,1600
69,55,bank_transfer,100
70,56,credit_card,1600
71,57,bank_transfer,2300
72,58,coupon,1500
73,59,bank_transfer,2300
74,60,coupon,1100
75,61,credit_card,1300
76,62,gift_card,100
77,63,gift_card,1300
78,64,credit_card,200
79,65,credit_card,3000
80,66,coupon,700
81,67,bank_transfer,800
82,68,credit_card,2100
83,69,credit_card,600
84,70,coupon,1400
85,71,credit_card,600
86,72,credit_card,1000
87,73,credit_card,1600
88,74,bank_transfer,1700
89,75,gift_card,1700
90,76,credit_card,1200
91,77,credit_card,1700
92,78,gift_card,2500
93,79,credit_card,1400
94,80,credit_card,500
95,81,credit_card,2600
96,82,credit_card,2900
97,83,bank_transfer,1000
98,84,gift_card,1100
99,85,bank_transfer,900
100,86,gift_card,2300
101,87,credit_card,1400
102,88,bank_transfer,2200
103,89,credit_card,600
104,90,bank_transfer,2400
105,91,coupon,200
106,92,credit_card,900
107,92,credit_card,700
108,93,credit_card,900
109,94,coupon,1900
110,95,bank_transfer,1700
111,96,credit_card,2000
112,97,credit_card,700
113,97,credit_card,1100
114,98,credit_card,1900
115,99,bank_transfer,2200
116,100,coupon,400
117,101,bank_transfer,1100
118,102,credit_card,600
119,103,gift_card,2800
120,104,gift_card,2800
121,104,bank_transfer,1900
122,105,bank_transfer,2000
123,106,gift_card,1200
124,106,bank_transfer,1900
125,107,credit_card,1600
126,108,credit_card,2400
127,109,credit_card,2700
128,110,credit_card,200
129,111,credit_card,3000
130,112,credit_card,1500
131,113,coupon,900
132,114,credit_card,500
133,114,credit_card,3000
134,114,credit_card,2600
135,115,coupon,2000
136,116,bank_transfer,2500
137,117,gift_card,2100
138,118,credit_card,1600
139,118,credit_card,2700
140,119,credit_card,700
141,120,credit_card,1100
142,121,bank_transfer,2700
143,122,credit_card,2800
144,122,credit_card,600
145,122,bank_transfer,1900
146,123,credit_card,1900
147,124,credit_card,1800
148,125,credit_card,3000
149,126,bank_transfer,2300
150,126,coupon,2400
151,127,gift_card,2000
152,127,coupon,1900
153,128,credit_card,400
154,129,bank_transfer,1100
155,130,coupon,1700
156,131,credit_card,2600
157,132,coupon,300
158,133,coupon,1400
159,134,bank_transfer,1800
160,135,coupon,1400
161,136,credit_card,800
162,137,bank_transfer,100
163,138,coupon,600
164,138,bank_transfer,2200
165,139,credit_card,200
166,140,coupon,2000
167,140,bank_transfer,400
168,140,credit_card,800
169,141,bank_transfer,2200
170,142,credit_card,2800
171,143,credit_card,1900
172,143,credit_card,2000
173,144,credit_card,1400
174,144,bank_transfer,700
175,145,credit_card,1100
176,146,bank_transfer,100
177,147,credit_card,2600
178,148,credit_card,1700
179,149,gift_card,2700
180,150,bank_transfer,1400
181,151,credit_card,900
182,152,credit_card,100
183,153,coupon,2700
184,154,gift_card,500
185,155,coupon,2900
186,156,credit_card,2900
187,157,credit_card,800
188,157,credit_card,2400
189,158,bank_transfer,2600
190,158,bank_transfer,800
191,159,credit_card,2300
192,160,coupon,1700
193,161,coupon,1800
194,162,bank_transfer,900
195,163,gift_card,2300
196,163,bank_transfer,2000
197,164,credit_card,2500
198,165,bank_transfer,3000
199,166,coupon,1300
200,167,coupon,1500
201,168,gift_card,1100
202,169,coupon,800
203,170,gift_card,1100
204,171,bank_transfer,2100
205,172,bank_transfer,1400
206,173,credit_card,700
207,174,credit_card,1000
208,175,bank_transfer,2300
209,176,coupon,1700
210,176,credit_card,2800
211,176,coupon,1200
212,177,bank_transfer,200
213,178,bank_transfer,1400
214,178,credit_card,2600
215,179,credit_card,1200
216,180,bank_transfer,1100
217,180,coupon,1500
218,181,coupon,2000
219,181,bank_transfer,1100
220,182,bank_transfer,100
221,183,credit_card,1300
222,184,bank_transfer,800
223,185,credit_card,1000
224,186,gift_card,900
225,187,coupon,2200
226,188,coupon,200
227,189,bank_transfer,1900
228,190,gift_card,2200
229,191,gift_card,2300
230,191,coupon,2100
231,192,bank_transfer,1000
232,192,gift_card,1700
233,193,credit_card,1500
234,194,credit_card,600
235,195,credit_card,2700
236,196,gift_card,1300
237,197,gift_card,400
238,198,credit_card,2400
239,199,credit_card,1000
240,200,credit_card,900
241,201,credit_card,2000
242,202,credit_card,1100
243,203,gift_card,300
244,204,coupon,400
245,205,coupon,1300
246,206,credit_card,400
247,207,bank_transfer,1800
248,207,gift_card,200
249,208,credit_card,2600
250,208,bank_transfer,1200
251,208,bank_transfer,1400
252,209,credit_card,2800
253,210,credit_card,1200
254,211,bank_transfer,1800
255,212,bank_transfer,2300
256,213,bank_transfer,100
257,213,bank_transfer,500
258,213,bank_transfer,2800
259,214,bank_transfer,1600
260,214,credit_card,1400
261,215,credit_card,2300
262,216,gift_card,2800
263,217,credit_card,500
264,218,bank_transfer,100
265,219,coupon,100
266,220,bank_transfer,2000
267,221,gift_card,900
268,222,credit_card,400
